Timestamp,"I acknowledge that my response to this will be anonymized and may be used for research purposes. I certify I am a college student at least 18 years of age. 

I have read and agree with the IRB consent form which can be found here.",University:,Grade:,Gender:,College:,Religion:,"How often do you use LLM’s (Large Language Models, like ChatGPT)?",Which LLM’s have you used in the past month?,What do you use LLM’s for?,"Are LLM’s a force for good? 

(According to Notre Dame's mission of promoting human dignity, creating flourishing communities, and pursuing knowledge and truth)","How important is Catholic Social Teaching to you?

1 Life and dignity of the human person
2 Call to family, community, and participation
3 Option for the poor and vulnerable
4 Rights and responsibilities
5 Dignity of work and rights of workers
6 Solidarity
7 Subsidiarity
8 Care of God's Creation",How important is faith in shaping your perspectives?,How often do you rely on LLM’s when you feel stuck?,Would you consult a friend or an LLM first when dealing with a pressing personal problem?,How satisfied are you with the University's responses to LLM’s?,"Does the overall use of LLM’s by and for university students, since public access became available, align with the University’s values?",How concerned are you about LLMs and academic integrity?,How well do you understand your professors’ LLM policies?,How well do professors understand how students use LLM’s?,"Do you believe LLM’s can be used ethically, in the eyes of Notre Dame’s Catholic mission?","To what extent do you feel LLM’s use should reflect Catholic values such as honesty, human dignity, and the common good?",Have you ever used LLM’s when you shouldn't have for school?,Have you used LLM’s when you shouldn't have for personal uses?,How cautious are you sharing information with an LLM?,In what ways are LLM’s a force for good?,In what ways are LLM’s not a force for good?,"After reviewing this form, do you think LLM’s are a force for good?"
2/26/2026 17:06:45,Yes.,Notre Dame,Freshman,Female,School of Architecture,Christian (Catholic),Weekly,"ChatGPT, CoPilot","Brainstorming, Organization",4,5,5,3,2,3,2,3,5,4,Yes,4,No,No,5,,,4
2/26/2026 18:21:41,Yes.,Notre Dame,Junior,Female,College of Arts & Letters,Christian (Catholic),Weekly,ChatGPT,"Studying / Explaining a concept, General questions",3,5,5,2,1,3,2,5,4,3,Yes,5,No,No,3,Helps with efficiency for certain mundane tasks which frees time for other pursuits,Humans are becoming increasingly reliant upon technology and no longer able to think for themselves. They no longer have the patience to struggle through problems that don’t have immediate solutions.,3
2/26/2026 19:05:24,Yes.,Notre Dame,Sophomore,Female,College of Science,Christian (Catholic),Monthly,ChatGPT,Studying / Explaining a concept,2,4,4,2,1,3,3,3,4,2,Yes,3,No,No,5,They can help simplify hard concepts,"It harms the environment, takes away jobs, and overall dumbs people down because they don’t think",2
2/26/2026 23:15:39,Yes.,Notre Dame,Freshman,Female,Mendoza College of Business,Christian (Catholic),Daily,ChatGPT,"Studying / Explaining a concept, Brainstorming, Organization, Creative work, Therapist/self-help, To solve a social situation, General questions",3,5,2,4,2,3,3,4,4,4,Yes,4,Yes,No,1,,,3
2/27/2026 14:00:14,Yes.,Notre Dame,Sophomore,Female,College of Engineering,Christian (Catholic),Daily,ChatGPT,"Academic writing, Studying / Explaining a concept, Brainstorming, Organization, To solve a social situation",2,5,5,4,4,3,2,5,2,3,Yes,5,Yes,Yes,2,,,2
2/27/2026 14:46:53,Yes.,St. Mary's,Freshman,Female,Saint Mary's College,Christian (Catholic),Weekly,Google AI,"Studying / Explaining a concept, General questions",3,4,4,1,1,,3,4,,,Yes,,Yes,No,5,A quick search option or for forming study questions to practice with,Searching up answers,2
2/27/2026 16:13:32,Yes.,Notre Dame,Graduate Student,Female,Keough School of Global Affairs,Agnostic,Weekly,"ChatGPT, Gemini, Claude","Academic writing, General writing, Brainstorming",3,4,2,3,1,3,2,3,5,3,Yes,4,Yes,No,4,,,3
3/2/2026 10:47:56,Yes.,Notre Dame,Graduate Student,Female,College of Engineering,Christian (Catholic),Monthly,"ChatGPT, Claude","Academic writing, coding",3,5,5,2,1,5,2,5,3,4,Yes,5,Yes,No,5,,,3
3/2/2026 10:50:30,Yes.,Notre Dame,Graduate Student,Male,Notre Dame Law School,Christian (Catholic),Unfamiliar,Have not used an LLM in the past month,,2,5,5,1,1,2,2,4,5,3,Yes,5,No,No,5,They reduce costs associated with learning and assist in aggregation of data and analysis by performing functions much faster than can be accomplished without.,The critical one is the impact on the environment. What good is knowledge if we destroy our life support systems by burning more carbon and depleting freshwater reserves such that we make it impossible to lead dignified and healthy lives?,1
3/2/2026 10:54:13,Yes.,Notre Dame,Graduate Student,Male,Notre Dame Law School,Atheist,Familiar but don't use,Lexis and Westlaw,General questions,2,1,1,1,1,3,2,5,5,4,Yes,1,No,No,5,Can make complex tasks easy. Can summarize most topics on a basic level.,Not able to do tasks yourself. Cheating. Resource consumption.,1
3/2/2026 12:09:50,Yes.,Notre Dame,Graduate Student,Female,College of Science,Christian (Catholic),Familiar but don't use,Have not used an LLM in the past month,,2,5,5,1,1,4,4,5,4,5,Yes,4,No,No,5,They can synthesize summaries of large text and give good starting points for understanding and learning information,They can be used as a replacement for human interaction and reinforce ideas of utility over respect,2
3/2/2026 12:25:39,Yes.,Notre Dame,Graduate Student,Male,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini, Claude","Academic writing, General writing, Studying / Explaining a concept, Brainstorming, Creative work, Therapist/self-help, To solve a social situation, General questions",4,5,5,5,4,4,2,5,5,4,Yes,5,Yes,Yes,2,They can help people better understand difficult subjects. They can help write and code. They can sift through and organize large datasets better than humans or previous algorithms. There are many ways LLMs can be used to build human flourishing in our society and the larger world.,LLMs can be used for such a huge list of bad things. Recently mass surveillance has become a concern. It's something I detest and believe the American people must resist. The environmental impact of LLMs is frightening. The business practices of LLM companies is damaging our economy. The outsourcing of training.. the list goes on.,3
3/2/2026 12:33:50,Yes.,Notre Dame,Graduate Student,Female,College of Arts & Letters,Christian (Orthodox),Familiar but don't use,Have not used an LLM in the past month,See what my students would get as a response to an proposed essay/exam question,1,3,4,1,1,1,1,5,1,1,No,3,No,No,1,They may help in medical diagnostics.,"Their mental and intellectual shallowness, their immoral base on plagiarism, their negative environmental impact, their probable destruction of jobs, their centralization of power onto tech companies, their negative association with surveillance, their degraded sense of 'yes man'-ing their questioners, their sallow reproduction of the human conscience, I could go on",1
3/2/2026 13:11:41,Yes.,Notre Dame,Graduate Student,Female,College of Science,Christian (Catholic),Weekly,Grok,"Creative work, Therapist/self-help",3,5,5,1,2,3,3,5,4,1,Yes,5,No,No,4,,"LLM's are a tool. It is how they are used that determines whether they are a force for good or not. This is dependent upon individual scenarios and a broad statement cannot be made. That being said, when a powerful tool is made suddenly and widely accessible, it is inevitable that it will be used improperly, whether the user is conscious of the way they are abusing it or not.",3
3/2/2026 13:40:34,Yes.,Notre Dame,Graduate Student,Male,College of Engineering,Christian (Catholic),Daily,ChatGPT,"Studying / Explaining a concept, To solve a social situation, General questions, Coding",5,5,5,2,2,2,2,5,5,1,Yes,5,No,No,4,They help those with disabilities with independence. They can speed up some manual tasks and answer general questions faster than a search engine. They are also good for brainstorming and summarizing. My personal favorite use of LLMs is handwriting to latex translation of complex formulas which is almost certainly a good thing.,They allow blatant academic dishonesty that is easy to suspect but is often very hard to prove. They can provide a replacement for human relationships for those most at risk of shying away from people in times of need. They currently create so much content that is designed to be addictive and is faster to produce than human generated content for the sole purpose of making someone a few bucks.,3
3/2/2026 15:34:23,Yes.,Notre Dame,Graduate Student,Female,College of Arts & Letters,Christian (Catholic),Weekly,ChatGPT,General questions,1,5,5,1,1,2,1,5,5,2,Yes,5,No,No,4,They're convenient for finding some kinds of information quickly.,"It's really hard to make paper writing assignments fair. It's hard to tell who is cheating and who is not and it's hard to reward students who are doing the reading for themselves. It's really, really hard to prove that a student is using an LLM even if you are basically sure that they have. 

There are many situations in which LLMs are convenient and even helpful if you are getting them to do something that you could already do for yourself and that you have a good grasp of. But if someone doesn't already have these skills, the LLM does a mediocre job and the person using it cannot tell. 

I think I'd think this regardless of my faith though, I think LLMs are a real problem for the education system if you don't want people to cheat or if you want them to learn how to do things themselves. ",1
3/2/2026 18:09:35,Yes.,Notre Dame,Graduate Student,Female,College of Engineering,Christian (Orthodox),Daily,"ChatGPT, Gemini, Grok, Claude, CoPilot","General writing, Studying / Explaining a concept, Therapist/self-help",3,3,2,2,2,1,2,2,2,3,Yes,4,Yes,Yes,5,,,4
3/2/2026 18:16:41,Yes.,Notre Dame,Freshman,Female,College of Arts & Letters,Christian (Catholic),Monthly,ChatGPT,"Studying / Explaining a concept, General questions",2,5,5,2,1,3,2,4,3,2,Yes,5,No,No,3,"Can provide quick, ultra-specific feedback to straightforward technical problems and concepts where professors are unable.",Limit the development of a student’s education and free will.,2
3/2/2026 18:17:22,Yes.,Notre Dame,Sophomore,Male,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini, Llama, Claude, CoPilot","Academic writing, General writing, Studying / Explaining a concept, Brainstorming, Organization, To solve a social situation, Programming",5,5,5,4,2,4,4,1,4,3,Yes,5,Yes,No,3,,,5
3/2/2026 18:18:43,Yes.,Holy Cross,Junior,Female,Holy Cross College,Christian (Catholic),Weekly,"ChatGPT, Gemini","Academic writing, General writing, Studying / Explaining a concept, Brainstorming",3,3,4,3,1,3,3,4,4,3,Yes,4,Yes,No,5,They make it easy to compile information quickly,They take away from free thought and are not always truthful.,3
3/2/2026 18:19:28,Yes.,Notre Dame,Sophomore,Female,College of Science,Christian (Protestant),Daily,ChatGPT,"Academic writing, Studying / Explaining a concept",3,4,4,4,2,4,4,5,5,3,Yes,4,Yes,No,5,Helps me when I’m stuck on hard homework problems,Leads to cheating and not fully understanding things,3
3/2/2026 18:22:01,Yes.,Notre Dame,Junior,Female,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini, Grok",Studying / Explaining a concept,2,5,5,4,1,3,4,5,2,2,Yes,5,No,No,1,They can be an on-demand TA,They prevent students from having to struggle to understand a concept. Weekly with it. I don’t use them for personal stuff but I think consulting them for anything personal is a terrifying and horrible idea.,2
3/2/2026 18:35:13,Yes.,Notre Dame,Graduate Student,Female,College of Engineering,Christian (Catholic),Weekly,"ChatGPT, Gemini, CoPilot","Brainstorming, Coding",2,5,5,2,1,3,2,4,5,5,Yes,5,Yes,No,4,,,3
3/2/2026 18:36:23,Yes.,Notre Dame,Junior,Male,"College of Engineering, College of Arts & Letters",Christian (Catholic),Daily,"ChatGPT, Gemini, CoPilot","Studying / Explaining a concept, Brainstorming, General questions, Coding",4,5,5,3,1,4,4,3,5,4,Yes,4,No,No,4,"Productive, solution driven, can teach them to some extent to approach things from angles that society might over look.",Cheating.,4
3/2/2026 18:43:16,Yes.,Notre Dame,Sophomore,Female,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini, Claude","Studying / Explaining a concept, Brainstorming, Coding",5,5,5,3,1,,4,1,3,1,Yes,5,Yes,No,5,I think LLMs are good at making knowledge accessible and productivity larger when used in the right ways,"When used incorrectly, LLMs make people genuinely stupid. People use LLMs to offload critical thinking. I also hate AI art and think it is slop.",5
3/2/2026 18:51:19,Yes.,Notre Dame,Sophomore,Male,College of Arts & Letters,Christian (Catholic),Weekly,CoPilot,"Entertainment, Coding",3,5,5,2,1,3,2,4,4,3,Yes,4,No,No,4,"They can help spread the truth, and simplify difficult tasks","They can spread misinformation, and they can make people lazy and dishonest, plus they may have a negative environmental impact",2
3/2/2026 18:58:26,Yes.,Notre Dame,Graduate Student,Male,College of Engineering,Christian (Catholic),Weekly,"ChatGPT, Gemini, Claude","General writing, Brainstorming, General questions, Coding",2,5,5,3,2,3,3,4,5,4,Yes,3,Yes,Yes,4,,,3
3/2/2026 18:58:43,Yes.,Notre Dame,Sophomore,Female,College of Arts & Letters,Christian (Catholic),Monthly,Gemini,Summarizing long readings when confused,2,5,5,2,1,2,2,5,3,3,Yes,5,No,No,5,,,2
3/2/2026 18:58:57,Yes.,Notre Dame,Sophomore,Male,"College of Arts & Letters, Mendoza College of Business",Christian (Catholic),Weekly,ChatGPT,"Studying / Explaining a concept, Brainstorming, To solve a social situation, General questions",2,5,5,3,2,3,3,4,3,2,Yes,5,Yes,Yes,3,,,2
3/2/2026 19:50:29,Yes.,Notre Dame,Graduate Student,Male,College of Engineering,Christian (Protestant),Daily,"ChatGPT, Gemini, Llama, Grok, Claude","Academic writing, Studying / Explaining a concept, Brainstorming, Coding",3,4,5,3,1,4,3,3,5,3,Yes,3,No,No,5,I think the way they have made a wealth of information available to anyone and it's ability to put that information into action better than something like a simple Google search. Also the real-time feedback loop contributes to that.,"I'm not a fan of the massive data collection, like data broker collection, that is absolutely being conducted by LLMs. LLMs costing people jobs isn't great either. Also their ability to hallucinate so confidently can be a detriment to naive end users who may not be able to spot an obvious incorrect response.",3
3/2/2026 20:06:08,Yes.,Notre Dame,Graduate Student,Male,College of Engineering,Agnostic,Daily,"Claude, CoPilot","Academic writing, General writing, Studying / Explaining a concept, Brainstorming, Organization, General questions, Coding",3,2,1,3,2,3,3,4,4,4,Yes,3,Yes,Yes,4,,,3
3/2/2026 20:38:08,Yes.,Notre Dame,Sophomore,Male,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini, Claude","Studying / Explaining a concept, Organization, General questions, Coding",4,5,5,4,2,3,4,,4,4,Yes,5,,,,,,4
3/2/2026 20:39:43,Yes.,Notre Dame,Graduate Student,Male,College of Engineering,Christian (Catholic),Daily,Gemini,"General writing, Studying / Explaining a concept, Brainstorming, General questions, Coding",4,5,4,4,2,3,2,4,5,5,Yes,5,No,No,2,"It is an equalizer. Like Internet, if used correctly can uplift a lot of people, improve conditions and help people.","If not done correctly, it can degrade human ingenuity, spread misinformation and possibly promote popular perspectives.",4
3/2/2026 20:43:40,Yes.,Notre Dame,Senior,Female,Keough School of Global Affairs,Christian (Catholic),Familiar but don't use,Have not used an LLM in the past month,"Brainstorming, Organization",2,5,5,2,1,3,4,4,3,3,Yes,5,No,No,4,"I don’t think that in themselves they promote human flourishing, BUT we have to learn to engage with this technology to figure out how to make it a force for good. It’s good for when you’re really stuck or reframing an already developed concept, but not for content generation.",It inhibits true human creativity and origination of thought,2
3/2/2026 20:48:32,Yes.,Notre Dame,Junior,Male,"College of Arts & Letters, Mendoza College of Business",Christian (Catholic),Daily,"ChatGPT, Gemini","Studying / Explaining a concept, To solve a social situation",1,5,5,3,2,2,1,5,1,3,No,,Yes,Yes,1,,,1
3/2/2026 20:54:06,Yes.,Notre Dame,Graduate Student,Female,College of Engineering,Agnostic,Daily,"ChatGPT, Gemini, Llama","Academic writing, General writing, Studying / Explaining a concept, Brainstorming, Organization, Therapist/self-help, Coding",3,3,1,4,3,2,4,1,3,3,Yes,2,No,No,4,"access of writing ability and information, allowing people who were otherwise not able to write professionally and read and understand complex information","can cause over-reliance by those still learning (e.g., children and college students) and stunt true learning, can remove jobs and although that can ultimately lead to a paradigm shift in the first generation during which it’s happening it can be severely economically disruptive including loss of employability; lastly, it can equalize output-based productivity making it difficult to uphold meritocracy because everyone seems great",3
3/2/2026 20:58:21,Yes.,Notre Dame,Senior,Female,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini, Claude","Academic writing, General writing, Studying / Explaining a concept, Brainstorming, Coding",3,4,3,4,1,2,2,5,4,2,Yes,3,Yes,No,3,They allow for more freedom and creativity because they can handle boring/ repetitive tasks,People use them to complete assignments when it is not allowed,4
3/2/2026 21:13:23,Yes.,Notre Dame,Sophomore,Female,College of Science,Christian (Catholic),Daily,"ChatGPT, Gemini","Academic writing, General writing, Studying / Explaining a concept, Organization, Editing Emails",2,4,3,3,1,3,3,4,4,2,Yes,4,Yes,No,3,,,
3/2/2026 22:12:21,Yes.,Notre Dame,Sophomore,Female,College of Arts & Letters,Christian (Catholic),Weekly,ChatGPT,Studying / Explaining a concept,2,5,5,2,2,2,2,3,2,4,Yes,5,Yes,No,4,,,2
3/2/2026 22:13:35,Yes.,Notre Dame,Junior,Female,College of Engineering,Christian (Catholic),Familiar but don't use,Have not used an LLM in the past month,,1,4,4,1,1,2,2,4,4,3,No,2,No,No,5,,,1
3/2/2026 22:13:56,Yes.,Notre Dame,Freshman,Male,College of Arts & Letters,Christian (Catholic),Familiar but don't use,Have not used an LLM in the past month,,2,5,5,1,1,3,2,4,3,3,Yes,5,Yes,Yes,3,"I am sure these cases exist, but I have not seen any in my life where they are.","Academic dishonesty, job loss, “AI slop” reducing human interaction and making software less useful, energy waste, water waste.",1
3/2/2026 22:33:20,Yes.,Notre Dame,Junior,Male,"Mendoza College of Business, College of Science",Christian (Catholic),Daily,"ChatGPT, Gemini, Grok, Claude, CoPilot","Academic writing, Studying / Explaining a concept, Brainstorming, Coding",5,5,5,4,2,3,5,4,5,3,Yes,5,Yes,Yes,1,,,5
3/2/2026 22:58:02,Yes.,Notre Dame,Freshman,Male,"College of Arts & Letters, College of Science",Christian (Catholic),Familiar but don't use,Have not used an LLM in the past month,I use Google AI overview for an integral now and again,1,5,5,2,1,2,2,5,4,2,Yes,5,No,No,3,,"Anything anyone outsources to a LLM, they get worse at. I think the extent to which the average student uses LLMs is pretty damaging to their learning",2
3/3/2026 0:48:43,Yes.,Notre Dame,Sophomore,Male,"College of Engineering, College of Arts & Letters",Christian (Catholic),Daily,ChatGPT,"Studying / Explaining a concept, Therapist/self-help, General questions",2,4,4,4,4,3,2,2,2,3,Yes,3,No,No,3,"good at quick or layered questions , incredibly efficient search engine","they only reenforce issues people already have. yes its not good to use them for therapy and cheating, but ai is not the cause, its a consequences of failure to meet adequate mental support and the failure of educational systems and notre dame is no exception",3
3/3/2026 3:32:23,Yes.,Notre Dame,Junior,Female,School of Architecture,Christian (Catholic),Weekly,"ChatGPT, Gemini","Studying / Explaining a concept, Brainstorming, General questions",2,5,5,2,1,2,2,4,4,2,Yes,4,No,No,5,,,2
3/3/2026 7:53:06,Yes.,Notre Dame,Sophomore,Male,College of Arts & Letters,Christian (Catholic),Monthly,ChatGPT,"Entertainment, Recipes",2,4,5,1,1,4,2,4,5,4,Yes,5,No,No,4,"Relieve human workload, fostering a larger bandwidth for humans to work excellently on non-AI tasks.","Academic dishonesty, environmental repercussions, decrease in thinking capability.",2
3/3/2026 9:16:01,Yes.,Notre Dame,Junior,Male,College of Arts & Letters,Christian (Catholic),Daily,Gemini,"Studying / Explaining a concept, Homework",2,5,5,1,1,2,3,4,2,2,Yes,4,Yes,No,4,,,2
3/3/2026 9:45:30,Yes.,Notre Dame,Senior,Female,College of Engineering,Christian (Catholic),Monthly,"ChatGPT, CoPilot","Creative work, General questions",2,5,5,1,1,3,2,5,4,1,Yes,5,No,No,5,"It can take care of some monotonous busy work, giving people more of an opportunity to focus on real and existing problems in the world","I would say when majority of people use these, they are doing so for the wrong reasons. When used improperly, it takes the problem solving out of a problem, destroys creativity, and attempts to replace interpersonal relationships. My largest concern is with creativity in writing and design. Creativity is really what makes us human and LLM's diminish creativity when used improperly.",2
3/3/2026 10:39:51,Yes.,Notre Dame,Graduate Student,Female,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini","Academic writing, Studying / Explaining a concept, Brainstorming, Entertainment",4,5,5,3,1,3,4,4,5,5,Yes,5,No,No,5,"They can spark creativity, and help explain difficult concepts",They can encourage laziness and cheating,3
3/3/2026 11:00:19,Yes.,Notre Dame,Sophomore,Female,College of Engineering,Christian (Catholic),Daily,"ChatGPT, Gemini, CoPilot",Coding,2,5,5,4,1,3,2,3,4,4,Yes,5,Yes,No,4,I heard about cases where they solve medical mysteries,"bad for the environment, data centers are destroying communitites, taking away human creativity",2
3/3/2026 15:18:00,Yes.,Notre Dame,Graduate Student,Female,Notre Dame Law School,Christian (Catholic),Daily,ChatGPT,"Studying / Explaining a concept, Brainstorming, Creative work, Therapist/self-help, To solve a social situation, General questions",2,5,2,5,4,3,3,4,5,1,Yes,3,No,No,2,,,2
